Column,Use
URI,1
rdf-schema#label,1
academicAdvisor_label,0
academicAdvisor,0
activeYears,1
activeYearsEndDate,1
activeYearsEndYear,1
activeYearsStartDate,1
activeYearsStartYear,1
address,1
agency_label,0
agency,0
alias,1
allegiance,0
almaMater_label,0
almaMater,0
appointer_label,0
appointer,0
artist_label,0
artist,1
associate_label,0
associate,0
associatedAct_label,0
associatedAct,0
associatedBand_label,0
associatedBand,0
associatedMusicalArtist_label,0
associatedMusicalArtist,0
author_label,0
author,1
automobileModel,0
award_label,0
award,0
background,0
battingSide,0
battle_label,0
battle,0
beatifiedBy_label,0
beatifiedBy,0
beatifiedDate,0
beatifiedPlace_label,0
beatifiedPlace,0
bestFinish,0
bibsysId,0
billed_label,0
billed,0
birthDate,1
birthName,1
birthPlace_label,1
birthPlace,1
birthYear,1
block,0
bnfId,0
board_label,0
board,0
bodyDiscovered_label,0
bodyDiscovered,0
bowlRecord,0
bpnId,0
bustSize,1
callSign,0
canonizedBy_label,0
canonizedBy,0
canonizedDate,0
canonizedPlace_label,0
canonizedPlace,0
careerPrizeMoney,1
careerStation_label,0
careerStation,0
centuryBreaks,0
championships,0
chancellor_label,0
chancellor,0
child_label,0
child,0
choreographer_label,0
choreographer,0
citizenship_label,1
citizenship,1
club_label,0
club,0
coach_label,0
coach,0
coachedTeam_label,0
coachedTeam,0
coachingRecord,0
college_label,1
college,1
commandStructure_label,0
commandStructure,0
committee,0
commonName,1
country_label,1
country,1
creator_label,0
creator,0
currentMember_label,0
currentMember,0
currentPartner_label,1
currentPartner,1
currentRank,0
currentRecord,0
dateOfBurial,1
deathCause_label,0
deathCause,1
deathDate,1
deathPlace_label,1
deathPlace,1
deathYear,1
debut,1
debutTeam_label,1
debutTeam,0
depictionDescription,0
deputy_label,0
deputy,0
discipline_label,0
discipline,0
doctoralAdvisor_label,1
doctoralAdvisor,1
doctoralStudent_label,1
doctoralStudent,1
draft,1
draftPick,1
draftRound,1
draftTeam_label,1
draftTeam,1
draftYear,1
education_label,1
education,1
electionDate,1
electionMajority,1
employer_label,1
employer,1
endYearOfInsertion,0
era_label,0
era,0
espnId,0
ethnicity_label,0
ethnicity,1
event_label,0
event,0
eyeColor,1
fastestLap,0
feastDay,0
field_label,0
field,0
firstAppearance,0
firstRace_label,0
firstRace,0
firstWin_label,0
firstWin,0
formerChoreographer_label,0
formerChoreographer,0
formerCoach_label,0
formerCoach,0
formerHighschool_label,0
formerHighschool,0
formerPartner_label,0
formerPartner,0
formerTeam_label,0
formerTeam,0
garrison_label,0
garrison,0
gender_label,0
gender,1
genre_label,1
genre,1
governor_label,1
governor,1
governorGeneral_label,0
governorGeneral,0
gross,0
hairColor,1
hallOfFame,1
height,1
highestBreak,0
highestRank,0
highschool_label,0
highschool,0
hipSize,0
hometown_label,1
hometown,1
honours_label,0
honours,0
imdbId,0
incumbent_label,0
incumbent,0
individualisedGnd,0
influenced_label,0
influenced,0
influencedBy_label,0
influencedBy,0
institution_label,0
institution,0
instrument_label,0
instrument,0
isHandicappedAccessible,0
isniId,0
knownFor_label,0
knownFor,1
language_label,1
language,1
lastAppearance_label,0
lastAppearance,0
lastPosition,0
lastRace_label,0
lastRace,0
lastWin_label,0
lastWin,0
lccnId,0
league_label,0
league,0
lieutenant_label,0
lieutenant,0
location_label,1
location,1
mainInterest_label,0
mainInterest,0
majorShrine_label,0
majorShrine,0
managerClub_label,0
managerClub,0
mbaId,0
militaryBranch_label,1
militaryBranch,1
militaryCommand,0
militaryRank_label,0
militaryRank,0
militaryUnit_label,1
militaryUnit,1
monarch_label,0
monarch,0
movement_label,0
movement,0
mythology_label,0
mythology,0
nationalTeam_label,0
nationalTeam,0
nationality_label,1
nationality,1
ndlId,0
networth,1
nlaId,0
nominee_label,0
nominee,0
notableIdea_label,0
notableIdea,0
notableStudent_label,0
notableStudent,0
notableWork_label,0
notableWork,0
number,0
numberOfFilms,1
numberSold,0
occupation_label,0
occupation,1
office,1
openingYear,0
opponent_label,0
opponent,0
orderInOffice,0
otherParty_label,0
otherParty,0
otherServingLines,0
otherWins,0
overallRecord,0
owner_label,0
owner,0
owningOrganisation_label,0
owningOrganisation,0
parent_label,0
parent,1
partner_label,1
partner,1
party_label,1
party,1
personFunction_label,0
personFunction,0
philosophicalSchool_label,0
philosophicalSchool,0
picture_label,0
picture,0
placeOfBurial_label,1
placeOfBurial,1
plays,0
podiums,0
poles,0
portfolio,0
portrayer_label,0
portrayer,0
position_label,0
position,0
predecessor_label,0
predecessor,0
president_label,1
president,1
previousWork_label,0
previousWork,0
primeMinister_label,1
primeMinister,1
profession_label,1
profession,1
prospectLeague_label,0
prospectLeague,0
prospectTeam_label,0
prospectTeam,0
pseudonym,1
publisher_label,0
publisher,0
race_label,0
race,0
raceHorse_label,0
raceHorse,0
races,0
railwayPlatforms,0
rankingWins,0
rating,0
rebuildingYear,0
recordDate,0
recordLabel_label,0
recordLabel,0
region_label,1
region,1
relation_label,1
relation,1
relative_label,1
relative,1
religion_label,1
religion,1
residence_label,1
residence,1
restingPlace_label,0
restingPlace,0
restingPlacePosition,0
rkdArtistsId,0
royalAnthem_label,0
royalAnthem,0
runningMate_label,0
runningMate,0
runtime,0
salary,1
school_label,0
school,0
selection_label,0
selection,0
selibrId,0
seniority,0
series_label,0
series,0
serviceEndYear,0
serviceNumber,0
serviceStartYear,0
shoeNumber,0
shoeSize,0
shoots,0
signature,0
significantBuilding_label,0
significantBuilding,0
significantDesign_label,0
significantDesign,0
significantProject_label,0
significantProject,0
soundRecording_label,0
soundRecording,0
speaker,0
species_label,0
species,0
spike,0
sport_label,1
sport,1
sportCountry_label,1
sportCountry,1
spouse_label,1
spouse,1
squadNumber,0
startYearOfInsertion,0
stateOfOrigin_label,0
stateOfOrigin,0
stationStructure,0
statisticLabel_label,0
statisticLabel,0
statisticValue,0
statisticYear,0
status,0
subsequentWork_label,0
subsequentWork,0
successor_label,1
successor,1
sudocId,0
supplementalDraftRound,0
supplementalDraftYear,0
suppreddedDate,0
taoiseach_label,0
taoiseach,0
team_label,0
team,0
televisionSeries_label,0
televisionSeries,0
termPeriod_label,0
termPeriod,0
throwingSide,0
timeInSpace,0
title,0
tournamentRecord,0
trainer_label,0
trainer,0
training_label,0
training,0
type_label,0
type,0
ulanId,0
undraftedYear,0
university_label,1
university,1
veneratedIn_label,0
veneratedIn,0
viafId,0
vicePresident_label,0
vicePresident,0
vicePrimeMinister_label,0
vicePrimeMinister,0
voice_label,0
voice,0
voiceType_label,0
voiceType,0
waistSize,1
weight,1
whaDraft,0
whaDraftTeam_label,0
whaDraftTeam,0
wins,0
winsAtAsia_label,0
winsAtAsia,0
winsAtAus_label,0
winsAtAus,0
winsAtChallenges_label,0
winsAtChallenges,0
winsAtChampionships_label,0
winsAtChampionships,0
winsAtJapan_label,0
winsAtJapan,0
winsAtLET_label,0
winsAtLET,0
winsAtLPGA_label,0
winsAtLPGA,0
winsAtMajors_label,0
winsAtMajors,0
winsAtNWIDE_label,0
winsAtNWIDE,0
winsAtOtherTournaments_label,0
winsAtOtherTournaments,0
winsAtPGA_label,0
winsAtPGA,0
winsAtProTournaments_label,0
winsAtProTournaments,0
winsInEurope_label,0
winsInEurope,0
worldChampionTitleYear,0
writer_label,0
writer,0
year,1
description,0
point,0
22-rdf-syntax-ns#type_label,1
22-rdf-syntax-ns#type,1
rdf-schema#seeAlso_label,1
rdf-schema#seeAlso,1
owl#differentFrom_label,1
owl#differentFrom,1
wgs84_pos#lat,1
wgs84_pos#long,1
